Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
148,KALYANKJIL,KALYAN JEWELLERS INDIA LIMITED,6743976.128365035
149,NMDC,NMDC LIMITED,6676689.976985358
150,BHARTIHEXA,BHARTI HEXACOM LIMITED,6547539.682539683
151,PIIND,PI INDUSTRIES LIMITED,6512190.778663622
152,SUPREMEIND,SUPREME INDUSTRIES LIMITED,6508951.082246389
153,LINDEINDIA,LINDE INDIA LIMITED,6499506.205708442
154,PATANJALI,PATANJALI FOODS LIMITED,6426192.939851473
155,BERGEPAINT,BERGER PAINTS (I) LIMITED,6249195.491617648
156,FACT,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,6190565.78598138
157,PHOENIXLTD,THE PHOENIX MILLS LIMITED,6155871.952582652
158,IREDA,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,6090033.274961199
159,JSL,JINDAL STAINLESS LIMITED,6040009.29402322
160,UNOMINDA,UNO MINDA LIMITED,6019802.089090993
161,SCHAEFFLER,SCHAEFFLER INDIA LIMITED,5966730.073945199
162,UCOBANK,UCO BANK,5826593.853088749
163,THERMAX,THERMAX LIMITED,5775226.919500397
164,BALKRISIND,BALKRISHNA INDUSTRIES LIMITED,5722757.2592755165
165,VOLTAS,VOLTAS LIMITED,5604433.807832619
166,MRF,MRF LIMITED,5576134.183915382
167,MPHASIS,MPHASIS LIMITED,5546111.598926938
168,CONCOR,CONTAINER CORPORATION OF INDIA LIMITED,5540129.762182237
169,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,5537974.059659067
170,LTTS,L&T TECHNOLOGY SERVICES LIMITED,5534670.336368246
171,POWERINDIA,HITACHI ENERGY INDIA LIMITED,5461814.726129167
172,SAIL,STEEL AUTHORITY OF INDIA LIMITED,5378124.211093248
173,TATACOMM,TATA COMMUNICATIONS LIMITED,5334592.718253968
174,NYKAA,FSN E COMMERCE VENTURES LIMITED,5321383.199127383
175,UBL,UNITED BREWERIES LIMITED,5317244.219662273
176,PGHH,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,5304339.736882031
177,ASTRAL,ASTRAL LIMITED,5213900.963828156
178,IDFCFIRSTB,IDFC FIRST BANK LIMITED,5199949.340679538
179,PETRONET,PETRONET LNG LIMITED,5178928.872889334
180,BANKINDIA,BANK OF INDIA,5133443.741477191
181,HUDCO,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,5131476.662857143
182,PREMIERENE,PREMIER ENERGIES LIMITED,5086711.168147708
183,CENTRALBK,CENTRAL BANK OF INDIA,5082255.999624455
184,BSE,BSE LIMITED,5067272.508867556
185,SUNDARMFIN,SUNDARAM FINANCE LIMITED,5059705.019301111
186,COROMANDEL,COROMANDEL INTERNATIONAL LIMITED,4991358.862538451
187,SJVN,SJVN LIMITED,4966643.567566925
188,COCHINSHIP,COCHIN SHIPYARD LIMITED,4942390.056019921
189,FEDERALBNK,THE FEDERAL BANK  LIMITED,4835094.483602749
190,PAGEIND,PAGE INDUSTRIES LIMITED,4829759.562574921
191,COFORGE,COFORGE LIMITED,4822634.590198785
192,AUBANK,AU SMALL FINANCE BANK LIMITED,4763374.970334461
193,VMM,VISHAL MEGA MART LIMITED,4751639.279906111
194,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,4703192.83362322
195,LLOYDSME,LLOYDS METALS AND ENERGY LIMITED,4615988.7711791275
196,BDL,BHARAT DYNAMICS LIMITED,4595208.565228174
197,KPITTECH,KPIT TECHNOLOGIES LIMITED,4493747.930803299
198,TATAELXSI,TATA ELXSI LIMITED,4487719.082409329
199,GVT&D,GE VERNOVA T&D INDIA LIMITED,4480054.324851805
200,GLENMARK,GLENMARK PHARMACEUTICALS LIMITED,4462877.337269585
201,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,4450186.950923636
202,ACC,ACC LIMITED,4449177.294962378
203,FORTIS,FORTIS HEALTHCARE LIMITED,4427595.825328396
204,PAYTM,ONE 97 COMMUNICATIONS LIMITED,4410587.62010142
205,AWL,ADANI WILMAR LIMITED,4394331.968256408
206,NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,4334973.241749867
207,HONAUT,HONEYWELL AUTOMATION INDIA LIMITED,4294953.183493705
208,OLAELEC,OLA ELECTRIC MOBILITY LIMITED,4275057.321737041
209,FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITED,4272841.561904762
210,MAHABANK,BANK OF MAHARASHTRA,4262886.034412267
211,BIOCON,BIOCON LIMITED,4220709.275396826
212,UPL,UPL LIMITED,4218614.49582875
213,ESCORTS,ESCORTS KUBOTA LIMITED,4193038.4069784945
214,JUBLFOOD,JUBILANT FOODWORKS LIMITED,4174675.596190476
215,APLAPOLLO,APL APOLLO TUBES LIMITED,4172168.8176122084
216,EXIDEIND,EXIDE INDUSTRIES LIMITED,4123464.7222222225
217,SONACOMS,SONA BLW PRECISION FORGINGS LIMITED,4110599.939716483
218,TATATECH,TATA TECHNOLOGIES LIMITED,4094088.896512857
219,LTF,L&T FINANCE LIMITED,4047942.5216555507
220,GUJGASLTD,GUJARAT GAS LIMITED,3982366.953311012
221,360ONE,360 ONE WAM LIMITED,3954952.3016742747
222,3MINDIA,3M INDIA LIMITED,3934289.5386035317
223,MFSL,MAX FINANCIAL SERVICES LIMITED,3908646.65228875
224,KEI,KEI INDUSTRIES LIMITED,3879771.733479772
225,AIAENG,AIA ENGINEERING LIMITED,3816943.0452771033
226,DEEPAKNTR,DEEPAK NITRITE LIMITED,3814981.05024613
227,NATIONALUM,NATIONAL ALUMINIUM COMPANY LIMITED,3806143.860832572
228,BLUESTARCO,BLUE STAR LIMITED,3798419.8941047764
229,NIACL,THE NEW INDIA ASSURANCE COMPANY LIMITED,3785478.2730158726
230,PSB,PUNJAB & SIND BANK,3756136.2771852887
231,APARINDS,APAR INDUSTRIES LIMITED,3753438.1301831743
232,AJANTPHARM,AJANTA PHARMA LIMITED,3703499.0958016533
233,IPCALAB,IPCA LABORATORIES LIMITED,3691650.0750386743
234,LICHSGFIN,LIC HOUSING FINANCE LIMITED,3672399.614289683
235,NLCINDIA,NLC INDIA LIMITED,3665285.511682705
236,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,3628829.8462907933
237,IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,3600792.1277777776
238,CRISIL,CRISIL LIMITED,3553941.985753476
239,GODREJIND,GODREJ INDUSTRIES LIMITED,3490776.207211906
240,DALBHARAT,DALMIA BHARAT LIMITED,3445876.077032293
241,SYNGENE,SYNGENE INTERNATIONAL LIMITED,3429522.4547920055
242,ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED,3428202.546502602
243,METROBRAND,METRO BRANDS LIMITED,3416411.752562719
244,JKCEMENT,JK CEMENT LIMITED,3404776.6904504877
245,KAYNES,KAYNES TECHNOLOGY INDIA LIMITED,3401077.5913401875
246,TATAINVEST,TATA INVESTMENT CORPORATION LIMITED,3371955.787686983
247,IKS,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,3355552.780464938
248,IGL,INDRAPRASTHA GAS LIMITED,3355256.589415873
249,ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED,3330485.6972752567
250,APOLLOTYRE,APOLLO TYRES LIMITED,3280167.8229388897
251,FIRSTCRY,BRAINBEES SOLUTIONS LIMITED,3242664.7982318816
252,STARHEALTH,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,3236598.471407063
253,GODIGIT,GO DIGIT GENERAL INSURANCE LIMITED,3219710.573658534
254,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,3192216.775159624
255,EMAMILTD,EMAMI LIMITED,3163705.2043650793
256,KPRMILL,K.P.R. MILL LIMITED,3152134.141547619
257,CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,3124622.147634192
258,SUNTV,SUN TV NETWORK LIMITED,3092882.4747058726
259,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,3080990.0793650793
260,MANYAVAR,VEDANT FASHIONS LIMITED,3046511.2833070173
261,BANDHANBNK,BANDHAN BANK LIMITED,3046279.8935167543
262,GLAND,GLAND PHARMA LIMITED,3025911.192263337
263,GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED,3016863.2387644444
264,MEDANTA,GLOBAL HEALTH LIMITED,3000885.005919349
265,MSUMI,MOTHERSON SUMI WIRING INDIA LIMITED,2985419.786432001
266,BRIGADE,BRIGADE ENTERPRISES LIMITED,2974849.135877853
267,NBCC,NBCC (INDIA) LIMITED,2968845.714285714
268,HINDCOPPER,HINDUSTAN COPPER LIMITED,2949216.0623215875
269,POONAWALLA,POONAWALLA FINCORP LIMITED,2908067.179433166
270,PPLPHARMA,PIRAMAL PHARMA LIMITED,2898323.2320579607
271,SUVENPHAR,SUVEN PHARMACEUTICALS LIMITED,2877839.6407811735
272,JBCHEPHARM,JB CHEMICALS & PHARMACEUTICALS LIMITED,2872823.5932888417
273,DELHIVERY,DELHIVERY LIMITED,2872461.9470714186
274,GILLETTE,GILLETTE INDIA LIMITED,2868133.31702517
275,CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED,2854074.494941191
276,ABREL,ADITYA BIRLA REAL ESTATE LIMITED,2852912.4456279366
277,BASF,BASF INDIA LIMITED,2845185.53551
278,ZFCVINDIA,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,2805203.6412128247
279,AEGISLOG,AEGIS LOGISTICS LIMITED,2797290.345238095
280,ITI,ITI LIMITED,2792755.355327373
281,RADICO,RADICO KHAITAN LIMITED,2778576.739797683
282,SUNDRMFAST,SUNDRAM FASTENERS LIMITED,2766738.546864683
283,TIMKEN,TIMKEN INDIA LIMITED,2763353.0246112286
284,TATACHEM,TATA CHEMICALS LIMITED,2755147.6954041976
285,CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,2724168.5960697858
286,ISEC,ICICI SECURITIES LIMITED,2698411.6686427067
287,JYOTICNC,JYOTI CNC AUTOMATION LIMITED,2698398.4653423796
288,SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2663295.0403319686
289,LALPATHLAB,DR. LAL PATH LABS LIMITED,2639926.4920813334
290,INOXWIND,INOX WIND LIMITED,2637940.5238723536
291,HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED,2629194.194408999
292,LAURUSLABS,LAURUS LABS LIMITED,2624778.573258143
293,EMCURE,EMCURE PHARMACEUTICALS LIMITED,2621228.111409399
294,TVSHLTD,TVS HOLDINGS LIMITED,2621045.945579524
295,GRINDWELL,GRINDWELL NORTON LIMITED,2619799.968888889
296,AIIL,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,2616225.136535317
297,WHIRLPOOL,WHIRLPOOL OF INDIA LIMITED,2608981.7289610715
298,SKFINDIA,SKF INDIA LIMITED,2607973.5808813293
299,ARE&M,AMARA RAJA ENERGY & MOBILITY LIMITED,2590899.813779476
300,HATSUN,HATSUN AGRO PRODUCT LIMITED,2582391.421309207
301,NH,NARAYANA HRUDAYALAYA LIMITED,2574174.9203717937
302,NATCOPHARM,NATCO PHARMA LIMITED,2548522.8629545397
303,KEC,KEC INTERNATIONAL LIMITED,2524167.872750595
304,RATNAMANI,RATNAMANI METALS & TUBES LIMITED,2496389.134253968
305,PFIZER,PFIZER LIMITED,2484570.3723832057
306,EIHOTEL,EIH LIMITED,2456877.2262584446
307,CESC,CESC LIMITED,2441471.377903031
308,KIOCL,KIOCL LIMITED,2398525.8497318397
309,PEL,PIRAMAL ENTERPRISES LIMITED,2386432.6992555554
310,POLYMED,POLY MEDICURE LIMITED,2385225.9823352974
311,ANGELONE,ANGEL ONE LIMITED,2385219.0466577965
312,PNBHOUSING,PNB HOUSING FINANCE LIMITED,2350145.310317368
313,IGIL,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,2318938.0601862855
314,CASTROLIND,CASTROL INDIA LIMITED,2307059.69799577
315,KANSAINER,KANSAI NEROLAC PAINTS LIMITED,2299425.999620496
316,NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED,2276463.2031713566
317,IRCON,IRCON INTERNATIONAL LIMITED,2273782.627226333
318,JWL,JUPITER WAGONS LIMITED,2267050.135679135
319,TRITURBINE,TRIVENI TURBINE LIMITED,2263601.5329852137
320,SHYAMMETL,SHYAM METALICS AND ENERGY LIMITED,2246971.578384913
321,ANANTRAJ,ANANT RAJ LIMITED,2235756.5820658295
322,FSL,FIRSTSOURCE SOLUTIONS LIMITED,2221267.736153162
323,ATUL,ATUL LIMITED,2219576.9532199404
324,CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED,2214143.3028089576
325,AFFLE,AFFLE (INDIA) LIMITED,2210222.2443698808
326,TEJASNET,TEJAS NETWORKS LIMITED,2194598.1479400876
327,FIVESTAR,FIVE-STAR BUSINESS FINANCE LIMITED,2188012.246090754
328,APLLTD,ALEMBIC PHARMACEUTICALS LIMITED,2177155.7943062703
329,ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED,2165984.666344104
330,JBMA,JBM AUTO LIMITED,2134111.115949098
331,KAJARIACER,KAJARIA CERAMICS LIMITED,2129085.0485282145
332,DEVYANI,DEVYANI INTERNATIONAL LIMITED,2124895.005299897
333,GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,2124743.6673015873
334,CYIENT,CYIENT LIMITED,2094158.4608104725
335,GSPL,GUJARAT STATE PETRONET LIMITED,2091439.7540662226
336,FINCABLES,FINOLEX CABLES LIMITED,2091269.5170976983
337,ELGIEQUIP,ELGI EQUIPMENTS LIMITED,2090335.6396906031
338,KIMS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,2089400.0991057341
339,KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED,2088716.3567693336
340,ASTERDM,ASTER DM HEALTHCARE LIMITED,2082555.2006156351
341,RAMCOCEM,THE RAMCO CEMENTS LIMITED,2065012.5793632541
342,JINDALSAW,JINDAL SAW LIMITED,2059419.521271246
343,BIKAJI,BIKAJI FOODS INTERNATIONAL LIMITED,2049022.4290866666
344,AARTIIND,AARTI INDUSTRIES LIMITED,2048438.0578664884
345,CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,2036265.205980413
346,CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS LIMITED,2017891.6914043645
347,VINATIORGA,VINATI ORGANICS LIMITED,2012575.2536915562
348,SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED,2008384.5709524644
349,SWANENERGY,SWAN ENERGY LIMITED,1985784.1735223567
350,CONCORDBIO,CONCORD BIOTECH LIMITED,1967827.491906492
351,NCC,NCC LIMITED,1951005.8858965554
352,VGUARD,V-GUARD INDUSTRIES LIMITED,1944698.113614111
353,PTCIL,PTC INDUSTRIES LIMITED,1938514.4034014042
354,SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,1927167.1628506747
355,IIFL,IIFL FINANCE LIMITED,1918302.0050864008
356,RELAXO,RELAXO FOOTWEARS LIMITED,1912920.1954320478
357,HFCL,HFCL LIMITED,1908269.1159291263
358,BLUEDART,BLUE DART EXPRESS LIMITED,1896162.3539001741
359,CHALET,CHALET HOTELS LIMITED,1888821.5554321713
360,CELLO,CELLO WORLD LIMITED,1888701.6250123184
361,AFCONS,AFCONS INFRASTRUCTURE LIMITED,1870717.780804564
362,AADHARHFC,AADHAR HOUSING FINANCE LIMITED,1859123.167965004
363,WELCORP,WELSPUN CORP LIMITED,1857498.5063693852
364,TBOTEK,TBO TEK LIMITED,1844644.9314576623
365,BATAINDIA,BATA INDIA LIMITED,1840652.047601905
366,RRKABEL,R R KABEL LIMITED,1826232.806536827
367,TRIDENT,TRIDENT LIMITED,1823191.3718501574
368,SAGILITY,SAGILITY INDIA LIMITED,1819149.9269865
369,JYOTHYLAB,JYOTHY LABS LIMITED,1815781.1525234438
370,FINPIPE,FINOLEX INDUSTRIES LIMITED,1813875.6126854166
371,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,1801987.3702959048
372,TECHNOE,TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED,1789850.5879786466
373,SONATSOFTW,SONATA SOFTWARE LIMITED,1780018.773310412
374,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1767257.3144145315
375,KFINTECH,KFIN TECHNOLOGIES LIMITED,1764318.8920012778
376,GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED,1761024.4222836841
377,ERIS,ERIS LIFESCIENCES LIMITED,1759932.3373388255
378,AMBER,AMBER ENTERPRISES INDIA LIMITED,1758078.9303115902
379,KARURVYSYA,KARUR VYSYA BANK LIMITED,1757391.1241986996
380,CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED,1748280.111416746
381,KIRLOSENG,KIRLOSKAR OIL ENGINES LIMITED,1744061.0750301548
382,JAIBALAJI,JAI BALAJI INDUSTRIES LIMITED,1740817.8963030244
383,IFCI,IFCI LIMITED,1739413.3040955628
384,ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED,1732818.392857143
385,LMW,LMW LIMITED,1729720.0401507937
386,BBTC,BOMBAY BURMAH TRADING CORPORATION LIMITED,1724292.3446035716
387,BEML,BEML LIMITED,1709983.6837757938
388,BSOFT,BIRLASOFT LIMITED,1709538.0330417182
389,RKFORGE,RAMKRISHNA FORGINGS LIMITED,1708742.4835729883
390,DCMSHRIRAM,DCM SHRIRAM LIMITED,1702339.7677315876
391,NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL LIMITED,1700785.2436631748
392,WOCKPHARMA,WOCKHARDT LIMITED,1695595.4329952137
393,ASAHIINDIA,ASAHI INDIA GLASS LIMITED,1694601.1300910157
394,CGCL,CAPRI GLOBAL CAPITAL LIMITED,1690267.2773304083
395,ZENSARTECH,ZENSAR TECHNOLOGIES LIMITED,1689234.17005464
396,IEX,INDIAN ENERGY EXCHANGE LIMITED,1686095.385591686
397,HBLENGINE,HBL ENGINEERING LIMITED,1684479.5831441106
398,NEWGEN,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,1680541.6165647057
399,VENTIVE,VENTIVE HOSPITALITY LIMITED,1663049.790568
400,APTUS,APTUS VALUE HOUSING FINANCE INDIA LIMITED,1646679.6357190912
401,SOBHA,SOBHA LIMITED,1644438.1219537423
402,ANANDRATHI,ANAND RATHI WEALTH LIMITED,1643503.7430618124
403,BLS,BLS INTERNATIONAL SERVICES LIMITED,1643275.9068296188
404,JUBLPHARMA,JUBILANT PHARMOVA LIMITED,1634220.677132377
405,WELSPUNLIV,WELSPUN LIVING LIMITED,1633510.3400390001
406,TTML,TATA TELESERVICES (MAHARASHTRA) LIMITED,1633442.9704629001
407,NEULANDLAB,NEULAND LABORATORIES LIMITED,1624649.3971520355
408,INDIAMART,INDIAMART INTERMESH LIMITED,1620864.1315716663
409,PCBL,PCBL LIMITED,1618254.0992739373
410,ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED,1608520.0301342225
411,AKZOINDIA,AKZO NOBEL INDIA LIMITED,1607718.230167564
412,MANAPPURAM,MANAPPURAM FINANCE LIMITED,1600627.5445958893
413,MGL,MAHANAGAR GAS LIMITED,1596204.2315226109
414,KIRLOSBROS,KIRLOSKAR BROTHERS LIMITED,1592974.5349014208
415,DOMS,DOMS INDUSTRIES LIMITED,1591132.1599217148
416,PGEL,PG ELECTROPLAST LIMITED,1583662.6052499528
417,CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED,1581921.1057937779
418,FINEORG,FINE ORGANIC INDUSTRIES LIMITED,1577757.6244487618
419,GRINFRA,G R INFRAPROJECTS LIMITED,1570572.422170742
420,ZENTEC,ZEN TECHNOLOGIES LIMITED,1551169.9784188888
421,ACMESOLAR,ACME SOLAR HOLDINGS LIMITED,1548561.3997517661
422,RITES,RITES LIMITED,1543944.4029413138
423,REDINGTON,REDINGTON LIMITED,1539298.9977223214
424,SAILIFE,SAI LIFE SCIENCES LIMITED,1535424.9229733334
425,KSB,KSB LIMITED,1533951.692698857
426,UTIAMC,UTI ASSET MANAGEMENT COMPANY LIMITED,1530937.9552597306
427,SANOFI,SANOFI INDIA LIMITED,1523027.7028314047
428,SPLPETRO,SUPREME PETROCHEM LIMITED,1511603.939512841
429,DATAPATTNS,DATA PATTERNS (INDIA) LIMITED,1500031.8320337662
430,NSLNISP,NMDC STEEL LIMITED,1499537.539507857
431,INDGN,INDEGENE LIMITED,1494499.264139437
432,GODREJAGRO,GODREJ AGROVET LIMITED,1492227.538392703
433,PVRINOX,PVR INOX LIMITED,1489702.4443378567
434,RPOWER,RELIANCE POWER LIMITED,1489425.8653426548
435,NIVABUPA,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,1484547.2648819354
436,NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,1476824.4238574454
437,EIDPARRY,EID PARRY INDIA LIMITED,1462506.9536822103
438,CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED,1451309.487791206
439,GRAVITA,GRAVITA INDIA LIMITED,1447400.9542561343
440,RAILTEL,RAILTEL CORPORATION OF INDIA LIMITED,1446617.1647019247
441,VTL,VARDHMAN TEXTILES LIMITED,1431155.8819777777
442,ECLERX,ECLERX SERVICES LIMITED,1428128.7196826984
443,GRANULES,GRANULES INDIA LIMITED,1424678.9840256514
444,SWSOLAR,STERLING AND WILSON RENEWABLE ENERGY LIMITED,1412648.9225844247
445,RAINBOW,RAINBOW CHILDRENS MEDICARE LIMITED,1411758.8388620988
446,NAVA,NAVA LIMITED,1403685.7357493252
447,ELECON,ELECON ENGINEERING COMPANY LIMITED,1397757.7563280554
448,GPIL,GODAWARI POWER AND ISPAT LIMITED,1393766.1597728094
449,SARDAEN,SARDA ENERGY & MINERALS LIMITED,1388204.8601800953
450,PRAJIND,PRAJ INDUSTRIES LIMITED,1376653.5320533335
451,AAVAS,AAVAS FINANCIERS LIMITED,1364401.9090979365
452,DEEPAKFERT,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,1362608.5766696427
453,INGERRAND,INGERSOLL RAND (INDIA) LIMITED,1351503.8916190476
454,RAYMONDLSL,RAYMOND LIFESTYLE LIMITED,1348649.6097729378
455,OLECTRA,OLECTRA GREENTECH LIMITED,1334886.1885902174
456,ZYDUSWELL,ZYDUS WELLNESS LIMITED,1324102.8418483813
457,HONASA,HONASA CONSUMER LIMITED,1320632.3219983848
458,MMTC,MMTC LIMITED,1314828.5714285714
459,CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED,1299294.1878852583
460,IWEL,INOX WIND ENERGY LIMITED,1290945.380839341
461,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LIMITED,1282928.4382799363
462,WESTLIFE,WESTLIFE FOODWORLD LIMITED,1278563.9655184525
463,LTFOODS,LT FOODS LIMITED,1277875.6687245083
464,GLS,GLENMARK LIFE SCIENCES LIMITED,1270864.598668056
465,JPPOWER,JAIPRAKASH POWER VENTURES LIMITED,1264865.6956866311
466,MINDACORP,MINDA CORPORATION LIMITED,1255252.3939593178
467,CUB,CITY UNION BANK LIMITED,1252552.7942294204
468,INTELLECT,INTELLECT DESIGN ARENA LIMITED,1251370.1912757105
469,NUVOCO,NUVOCO VISTAS CORPORATION LIMITED,1250271.9039704488
470,RAYMOND,RAYMOND LIMITED,1249702.5559501112
471,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED,1242367.8102
472,AKUMS,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,1240609.8013642174
473,VOLTAMP,VOLTAMP TRANSFORMERS LIMITED,1238484.5425625397
474,TARIL,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,1237065.0140939434
475,TTKPRESTIG,TTK PRESTIGE LIMITED,1235628.1955359206
476,GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED,1220282.61911998
477,ALOKINDS,ALOK INDUSTRIES LIMITED,1219975.3546534842
478,RBLBANK,RBL BANK LIMITED,1215200.2003311666
479,ENGINERSIN,ENGINEERS INDIA LIMITED,1205479.609345929
480,RHIM,RHI MAGNESITA INDIA LIMITED,1203064.9792250323
481,MARKSANS,MARKSANS PHARMA LIMITED,1199123.5060431864
482,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED,1190560.5861868649
483,TEGA,TEGA INDUSTRIES LIMITED,1189426.491350778
484,AETHER,AETHER INDUSTRIES LIMITED,1184442.6487548763
485,JMFINANCIL,JM FINANCIAL LIMITED,1177401.048690528
486,SAFARI,SAFARI INDUSTRIES (INDIA) LIMITED,1166106.4561226785
487,CEATLTD,CEAT LIMITED,1164555.411326762
488,SCI,SHIPPING CORPORATION OF INDIA LIMITED,1162639.1742858088
489,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,1158206.4523809524
490,J&KBANK,THE JAMMU & KASHMIR BANK LIMITED,1152222.2630723927
491,MAHSCOOTER,MAHARASHTRA SCOOTERS LIMITED,1150155.077039651
492,USHAMART,USHA MARTIN LIMITED,1145945.1788848413
493,TANLA,TANLA PLATFORMS LIMITED,1138250.1583566314
494,STAR,STRIDES PHARMA SCIENCE LIMITED,1134958.5429422536
495,ELECTCAST,ELECTROSTEEL CASTINGS LIMITED,1130368.581047099
496,SANOFICONR,SANOFI CONSUMER HEALTHCARE INDIA LIMITED,1128431.8302304728
497,CANFINHOME,CAN FIN HOMES LIMITED,1125623.6452380952
498,BALRAMCHIN,BALRAMPUR CHINI MILLS LIMITED,1121324.7579490517
499,JUBLINGREA,JUBILANT INGREVIA LIMITED,1117305.3451586862
500,EUREKAFORB,EUREKA FORBES LIMITED,1114488.8796664146
501,JSWHL,JSW HOLDINGS LIMITED,1114416.637546627
502,MAPMYINDIA,C.E. INFO SYSTEMS LIMITED,1107617.0461185318
503,INDIACEM,THE INDIA CEMENTS LIMITED,1100069.8560219521
504,KPIGREEN,KPI GREEN ENERGY LIMITED,1090793.5670736032
505,REDTAPE,REDTAPE LIMITED,1088576.2964706349
506,HAPPYFORGE,HAPPY FORGINGS LIMITED,1088291.8003914603
507,METROPOLIS,METROPOLIS HEALTHCARE LIMITED,1086420.7196502506
508,JKTYRE,JK TYRE & INDUSTRIES LIMITED,1085527.0512266273
509,INOXINDIA,INOX INDIA LIMITED,1082283.8116587303
510,CERA,CERA SANITARYWARE LIMITED,1074488.2473570677
511,ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED,1072481.9961772622
512,VESUVIUS,VESUVIUS INDIA LIMITED,1068369.4286812698
513,QUESS,QUESS CORP LIMITED,1059489.3491632733
514,PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,1059476.3445173015
515,BAJAJELEC,BAJAJ ELECTRICALS LIMITED,1057384.2277037057
516,GRAPHITE,GRAPHITE INDIA LIMITED,1054970.8040589758
517,PNCINFRA,PNC INFRATECH LIMITED,1050671.4204459125
518,LEMONTREE,LEMON TREE HOTELS LIMITED,1049369.4632678097
519,SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED,1046724.230132238
520,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LIMITED,1045392.7068790826
521,ISGEC,ISGEC HEAVY ENGINEERING LIMITED,1028721.5916457936
522,GALAXYSURF,GALAXY SURFACTANTS LIMITED,1026721.2407092066
523,RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,1024604.7719693651
524,RTNINDIA,RATTANINDIA ENTERPRISES LIMITED,1020331.0756496426
525,SYMPHONY,SYMPHONY LIMITED,1018973.790802381
526,PURVA,PURAVANKARA LIMITED,1015435.4305043176
